doc_id,chunk_id,text,source
1,0,"Q: How can I create an account? A: To create an account, click on the 'Sign Up' button on the top right corner of our website and follow the instructions to complete the registration process.",How can I create an account?
2,0,"Q: What payment methods do you accept? A: We accept major credit cards, debit cards, and PayPal as payment methods for online orders.",What payment methods do you accept?
3,0,"Q: How can I track my order? A: You can track your order by logging into your account and navigating to the 'Order History' section. There, you will find the tracking information for your shipment.",How can I track my order?
4,0,"Q: What is your return policy? A: Our return policy allows you to return products within 30 days of purchase for a full refund, provided they are in their original condition and packaging. Please refer to our Returns page for detailed instructions.",What is your return policy?
5,0,"Q: Can I cancel my order? A: You can cancel your order if it has not been shipped yet. Please contact our customer support team with your order details, and we will assist you with the cancellation process.",Can I cancel my order?
6,0,"Q: How long does shipping take? A: Shipping times vary depending on the destination and the shipping method chosen. Standard shipping usually takes 3-5 business days, while express shipping can take 1-2 business days.",How long does shipping take?
7,0,"Q: Do you offer international shipping? A: Yes, we offer international shipping to select countries. The availability and shipping costs will be calculated during the checkout process based on your location.",Do you offer international shipping?
8,0,"Q: What should I do if my package is lost or damaged? A: If your package is lost or damaged during transit, please contact our customer support team immediately. We will initiate an investigation and take the necessary steps to resolve the issue.",What should I do if my package is lost or damaged?
9,0,"Q: Can I change my shipping address after placing an order? A: If you need to change your shipping address, please contact our customer support team as soon as possible. We will do our best to update the address if the order has not been shipped yet.",Can I change my shipping address after placing an order?
10,0,Q: How can I contact customer support? A: You can contact our customer support team by phone at [phone number] or by email at [email address]. Our team is available [working hours] to assist you with any inquiries or issues you may have.,How can I contact customer support?
11,0,"Q: Do you offer gift wrapping services? A: Yes, we offer gift wrapping services for an additional fee. During the checkout process, you can select the option to add gift wrapping to your order.",Do you offer gift wrapping services?
12,0,Q: What is your price matching policy? A: We have a price matching policy where we will match the price of an identical product found on a competitor's website. Please contact our customer support team with the details of the product and the competitor's offer.,What is your price matching policy?
13,0,"Q: Can I order by phone? A: Unfortunately, we do not accept orders over the phone. Please place your order through our website for a smooth and secure transaction.",Can I order by phone?
14,0,"Q: Are my personal and payment details secure? A: Yes, we take the security of your personal and payment details seriously. We use industry-standard encryption and follow strict security protocols to ensure your information is protected.",Are my personal and payment details secure?
15,0,"Q: What is your price adjustment policy? A: If a product you purchased goes on sale within 7 days of your purchase, we offer a one-time price adjustment. Please contact our customer support team with your order details to request the adjustment.",What is your price adjustment policy?
16,0,"Q: I forgot my password, what should I do? A: If you forgot your password, click on the 'Forgot Password' link on the login page. Enter your email address and we will send you a password reset link. The link is valid for 24 hours. If you don't receive the email, check your spam folder or contact support.","I forgot my password, what should I do?"
17,0,"Q: How do I change my email address? A: To change your email address, go to Account Settings > Profile > Email. Enter your new email and confirm it via the verification link we send. Your old email will remain active until you verify the new one.",How do I change my email address?
18,0,"Q: What is two-factor authentication? A: Two-factor authentication (2FA) adds an extra layer of security to your account. After entering your password, you will need to confirm your identity via a code sent to your phone or authenticator app. Enable 2FA in Account Settings > Security.",What is two-factor authentication?
